name,alternativename,notes,primaryvalue,subcategory,category,type,highlight,metric_001,metric_002,metric_003,metric_004,exclude,,firstsource,secondsource,thirdsource,,,,,,,,,,,,,,,,,,
Massachusetts Government,Massachusetts Executive Office of Labor and Workforce,"Over 1,500 departmental computers were infected with the W32.QAKBOT virus, a malicious program which “downloads additional files, steals information, and opens a back door on the compromised computer”. ",2011,"210,000",government,poor security,y,210000,50000,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
Honda Canada,,"Names, addresses and vehicle identification numbers were taken from the company’s eCommerce websites myHonda and myAcura",2011,"283,000",retail,poor security,y,283000,20,,,,,http://www.guelphmercury.com/news-story/2200845-honda-canada-hit-by-online-security-breach-283-000-car-owners-personal-data-stolen/,,,,,,,,,,,,,,,,,,,,
Southern California Medical-Legal Consultants,,"Electronic files containing names and social security numbers of approximately 300,000 individuals who have applied for California workers’ compensation benefits had been exposed to unauthorized access.",2011,"300,000",healthcare,hacked,,300000,20,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,,,,,,,,,,,,,,,,,,
Citigroup,,"Less than 1% of Citbank card holders' names, account numbers, and contact information such as e-mail addresses were stolen. Card security codes were not stolen. ",2011,"360,083",financial,hacked,,360083,300,,,,,http://www.pcworld.com/article/229891/Citigroup_Hack_Nets_Over_200k_in_Stolen_Customer_Details.html,,,PC World,,,,,,,,,,,,,,,,,
Spartanburg Regional Healthcare System,,"The stolen computer contained a password-protected file with Social Security numbers as well as names, addresses, dates of birth and medical billing codes.",2011,"400,000",healthcare,lost / stolen computer,,400000,4000,,,,,http://www.spartanburgregional.com/Pages/PatientNotice.aspx,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,
Eisenhower Medical Center,California hospital,"Stolen computer contained data listing patients' names, ages, dates of birth, medical record numbers and the last four digits of their social security numbers.",2011,"514,330",healthcare,lost / stolen computer,,514330,4000,,,,,http://databreachinvestigation.blogspot.com/2011/04/thief-gets-away-with-eisenhower-medical.html,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,
Stratfor,Shadowy global intelligence company,"Hacking collective Anonymous defaced the website of Stratfor and posted a file online of the organization’s confidential client list, along with credit card details, passwords and home addresses for those clients. They released 47,680 unique e-mail addresses and 50,277 unique credit card numbers — 9,651 of which were not yet expired. Of the stolen encrypted passwords, 50% were easily crackable. ",2011,"935,000",military,accidentally published,,935000,300,,,,,http://bits.blogs.nytimes.com/2011/12/27/questions-about-motives-behind-stratfor-hack/,,,NY Times,,,,,,,,,,,,,,,,,
Oregon Department of Motor Vehicles,,"Sheriff's detectives arrested Tim Nuss  for accessing an old Oregon Department of Motor Vehicles database. The DMV database was once sold to marketing companies, but the department stopped selling the information in the late 1990s. The sold data include the names, addresses, birth dates, gender and ages of people who registered with the DMV, but no financial information.  ",2011,"1,000,000",government,poor security,,1000000,20,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
Sony Pictures,,"LulzSec hacking collective stated all of the information it took was unencrypted, “Sony stored over 1,000,000 passwords of its customers in plaintext."" More than 1 million user accounts were compromised. An additional 75,000 music codes and 3.5 million coupons were also uncovered.",2011,"1,000,000",web,hacked,y,1000000,1,,,,,http://mashable.com/2011/06/02/sony-pictures-hacked/,,,Mashable,,,,,,,,,,,,,,,,,
Nemours Foundation,US children's hospitals,A health care organization that runs children’s hospitals reported the loss of 1.05 million records when data backup tapes were lost.,2011,"1,055,489",healthcare,lost / stolen media ,,1055489,4000,,,,,http://zerosecurity.org/technews/past-three-years-over-21m-medical-record-breaches/,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,
Washington Post,,Unknown hackers broke into The Washington Post's jobs website stealing about 1.27 million user IDs and email addresses.,2011,"1,270,000",media,hacked,,1270000,20,,,,,"http://www.pcmag.com/article2/0,2817,2388200,00.asp",,,PC Mag,,,,,,,,,,,,,,,,,
Sega,,"Information stolen during the hack includes names, birth dates, e-mail addresses and passwords from Sega Pass, a system for users interested in newsletters and for registering certain products. ",2011,"1,290,755",gaming,hacked,,1290755,4000,,,,, http://www.zdnet.com/blog/gamification/sega-1-3-million-customer-records-hacked-lulzsec-promises-retribution/481,,,ZD Net,,,,,,,,,,,,,,,,,
Countrywide Financial Corp,Employee convicted of downloading millions of borrower files and selling the information to other loan officers.,mortgage lender,2011,"2,500,000",financial,inside job,,2500000,20,,,,,http://latimesblogs.latimes.com/money_co/2011/09/man-convicted-in-huge-countrywide-data-theft-gets-8-months-in-prison.html,,,,,,,,,,,,,,,,,,,,
State of Texas,,"3.5 million records were accidentally published online including people's names, mailing addresses, social security numbers, and in some cases dates of birth and driver's license numbers.",2011,"3,500,000",government,accidentally published,,3500000,20,,,,,http://www.informationweek.com/security/attacks/texas-data-breach-exposed-35-million-rec/229401489?queryText=Texas%20data%20leak,,,Information Week,,,,,,,,,,,,,,,,,
Sutter Medical Foundation,,"A password protected but unencrypted company computer was stolen. The compromised database contained names, addresses, dates of birth, phone numbers, email addresses, medical record numbers and the name of each patient's health insurance plan. No medical records were stored on the computer.",2011,"4,243,434",healthcare,lost / stolen computer,,4243434,20,,,,,http://www.simplysecurity.com/2011/11/30/sutter-health-sued-for-1-billion-following-data-breach/,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,
Tricare,Healthcare service for US Military,"The information for some 4.6 million active and retired military personnel, as well as their families, was on back up-tapes from an electronic health care record used to capture and preserve patient data from 1992 through September 7 2011. ",2011,"4,901,432","military, healthcare",lost / stolen computer,,4901432,4000,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
China Software Developer Network,,,2011,"6,000,000",web,hacked,,6000000,1,,,,,http://www.zdnet.com/blog/security/chinese-hacker-arrested-for-leaking-6-million-logins/11064,,,,,,,,,,,,,,,,,,,,
NHS,"UK's national health service, govt funded",A laptop holding the unencrypted records of eight million patients went missing from an NHS store room and wasn't reported until 3 weeks later. ,2011,"8,300,000",healthcare,lost / stolen media ,y,8300000,4000,,,,,http://www.techweekeurope.co.uk/news/nhs-researchers-lose-laptop-with-8m-patients-records-31810,,,Tech Week,,,,,,,,,,,,,,,,,
178.com,,gaming website,2011,"10,000,000",web,hacked,,10000000,1,,,,,http://www.ehackingnews.com/2011/12/hackers-compromised-38-million-chinese.html,,,,,,,,,,,,,,,,,,,,
Nexon Korea Corp,Personal data of subscribers to online game Maple Story was leaked.,game developer,2011,"13,200,000",web,hacked,,13200000,20,,,,,http://www.reuters.com/article/2011/11/26/us-korea-hacking-nexon-idUSTRE7AP09H20111126,,,,,,,,,,,,,,,,,,,,
Sony Online Entertainment,,"Hacked by LulzSec. In addition to the Sony Playstation Network breach, compromised 77 million records. More than 23,000 lost financial data, according to Sony.",2011,"24,600,000",gaming,hacked,,24600000,300,,,,,http://www.computerworld.com/s/article/9216343/Sony_cuts_off_Sony_Online_Entertainment_service_after_hack,,,Computer World,,,,,,,,,,,,,,,,,
Tianya,"Usernames, clear tect passwords and email addresses hacked. ",blogging site,2011,"28,000,000",web,hacked,,28000000,1,,,,,"http://www.scmagazine.com.au/News/349585,28-million-clear-text-passwords-found-after-tianya65279-hack.aspx",,,,,,,,,,,,,,,,,,,,
Steam,Attackers used login details from a Steam forum hack to access a database that held ID and credit card data.,The Valve Corporation,2011,"35,000,000",web,hacked,,35000000,300,,,,,http://www.bbc.co.uk/news/technology-15690187,,,,,,,,,,,,,,,,,,,,
Sony PSN,,"Rounding off a thoroughly unhappy year for Sony, their third breach saw the loss of 76,000,000 Sony PSN and Qriocity user accounts to hacking collective Lulzsec.",2011,"77,000,000",gaming,hacked,y,77000000,1,,,,,http://mashable.com/2011/05/31/sony-playstation-services-return/,,,Mashable,,,,,,,,,,,,,,,,,
Health Net - IBM,Data lost from HN servers managed by IBM,"Several server drives, containing personal information of former and current employees, went missing.",2011,"1,900,000",healthcare,lost / stolen media ,,1900000,300,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,ITRC,,,,,,,,,,,,,,,,,
Yale University,,,2010,"43,000",academic,accidentally published,,43000,20,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
Colorado government,Department of Health Care Policy & Financing,,2010,"105,470",healthcare,lost / stolen computer,,105470,20,,,,,http://www.databreaches.net/?p=12611,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,
AT&T,US Telecoms company,"Details of iPad 3G users hacked from AT&T website, thought to include those of White House chief of staff Rahm Emanuel.",2010,"114,000",telecoms,hacked,y,114000,1,,,,,http://www.guardian.co.uk/technology/2010/jun/10/apple-ipad-security-leak?INTCMP=SRCH,,,Guardian,,,,,,,,,,,,,,,,,
Lincoln Medical & Mental Health Center,,"130,495 patients lost their protected health information after seven CDs were lost in transit.",2010,"130,495",healthcare,lost / stolen media ,,130495,4000,,,,,http://www.phiprivacy.net/?tag=lincoln-medical-and-mental-health-center,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,
"Ankle & foot Center of Tampa Bay, Inc.",,"The information hacked included information such as patient names, social security numbers, date of birth, home addressees, account numbers, and healthcare services and related diagnostic codes.",2010,"156,000",healthcare,hacked,,156000,4000,,,,,http://www.phiprivacy.net/?p=5743,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,
"Emergency Healthcare Physicians, Ltd.",A Chicago emergency physician group,"The stolen portable hard drive is believed to have contained records from 2003 to 2006 that included patient names, addressees, phone numbers, birth dates, Social Security numbers, and, in some cases, drivers' license numbers.",2010,"180,111",healthcare,lost / stolen media,,180111,4000,,,,,http://www.healthcareinfosecurity.com/chicago-breach-affects-180000-a-2496,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,
"Seacoast Radiology, PA",,"Computer gamers hacked a server at Seacoast Radiology in Rochester in search of more bandwidth in November to play Call of Duty: Black Ops. In the process they also gained access to personal records of the more than 230,000 patients of the health center.",2010,"231,400",healthcare,hacked,y,231400,20,,,,,http://www.fosters.com/apps/pbcs.dll/article?AID=/20110120/GJNEWS_01/701209744,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,
Embassy Cables,"Confidential communications between 274 embassies in countries throughout the world and the State Department in Washington DC, between 1966-2010.",Wikileaks,2010,"251,000",government,inside job,,251000,50000,,,,,http://wikileaks.org/cablegate.html,,,,,,,,,,,,,,,,,,,,
US Military,Wikileaks / Bradley Manning/Cablegate.,WIKILEAKS!,2010,"260,000",military,inside job,y,260000,50000,,,,,http://www.guardian.co.uk/news/datablog/2010/nov/29/wikileaks-cables-data,,,Guardian,,,,,,,,,,,,,,,,,
Classified Iraq War documents,,Wikileaks,2010,"392,000",government,inside job,,392000,20,,,,,http://www.forbes.com/sites/andygreenberg/2010/10/22/wikileaks-reveals-the-biggest-classified-data-breach-in-history/,,,,,,,,,,,,,,,,,,,,
"Triple-S Salud, Inc.",Puerto-Rican health insurance company,,2010,"398,000",healthcare,lost / stolen media,,398000,4000,,,,,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,,
US Federal Reserve Bank of Cleveland,,"A Malaysian man has been charged with hacking into major U.S. corporations, including the U.S. Federal Reserve Bank of Cleveland and FedComp after U.S. Secret Service investigators found more than ""400,000 stolen credit and debit card account numbers allegedly obtained by hacking into various computer systems of other financial institutions""",2010,"400,000",financial,hacked,,400000,300,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
Puerto Rico Department of Health,,"Double whammy. Two separate breaches. On September 3rd, 2010 data on 115,000 people was stolen from unauthorized access of an electronic device, on the 21st they reported an additional 400,000 records were hacked. ",2010,"515,000",healthcare,hacked,,515000,4000,,,,,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,,
Ohio State University,,,2010,"760,000",academic,hacked,,760000,20,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
"South Shore Hospital, Massachusetts",,"South Shore Hospital hired a contractor to destroy files no longer in use and lost the shipment. The back-up computer files possibly contained names, addresses, phone numbers, dates of birth, Social Security numbers, driver’s license numbers, medical record numbers, patient numbers, health plan information, protected health information including diagnoses and treatments. As well as bank account and credit card numbers for some. Patients, employees, physicians, volunteers, donors, vendors and other business partners were effected. ",2010,"800,000",healthcare,lost / stolen media ,,800000,50000,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
Gawker.com,US news and gossip blog network including Gawker.com Gizmodo.com Lifehacker.com,"Hacked. 1.5 Million usernames, emails, passwords taken.",2010,"1,500,000",web,hacked,,1500000,20,,,,,http://www.guardian.co.uk/technology/2010/dec/13/gawker-hackers-passwords-twitter-wikileaks?INTCMP=SRCH,http://www.mediaite.com/online/gawker-medias-entire-commenter-database-appears-to-have-been-hacked/,,Guardian,,,,,,,,,,,,,,,,,
New York City Health & Hospitals Corp.,New York City Health & Hospitals Corporation's North Bronx Healthcare Network,,2010,"1,700,000",healthcare,lost / stolen media ,,1700000,4000,,,,,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,,
Betfair,UK gambling site,"Betfair waited 18 months to report the breach of their online gambling site, alarming banking institutions and security experts. Betfair's systems breach, which occurred in March and April 2010, was not uncovered until this past May, when a server crashed.",2010,"2,300,000",web,hacked,,2300000,300,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
JP Morgan Chase,,"In 2007, the personal information of approximately 2.6 million current and former holders of a Chase-Circuit City credit card had been mistakenly identified as trash and thrown out in garbage bags outside five branch offices in New York.",2010,"2,600,000",financial,lost / stolen media ,y,2600000,300,,,,,http://www.pcworld.com/article/131453/article.html,,,ITRC,,,,,,,,,,,,,,,,,
Educational Credit Management Corp,US student loan guarantor,"A contractor for the US Department of Education stole the records of 3.3 million people. Data included names, addresses, Social Security numbers and dates of birth of borrowers, but no financial or bank account information.",2010,"3,300,000",financial,lost / stolen media,y,3300000,20,,,,,http://www.foxnews.com/us/2010/03/26/student-loan-company-data-m-people-stolen/,,,ITRC,,,,,,,,,,,,,,,,,
US Dept of Defense,,"""According to a report to Congress, assessment forms of 72,000 service members who returned from deployment to Iraq or Afghanistan between Jan 1, 2007 to May 31, 2008 were breached. The forms ask for the service member's SSN,. Name, date of birth.""",2009,"72,000",military,lost / stolen media ,y,72000,20,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
US National Guard,,"About 131,000 former and current Army Guard members potentially affected  when a personal laptop owned by an Army Guard contractor was stolen. Database incuded names, Social Security Numbers, incentive payment amounts and payment dates.",2009,"131,000",military,lost / stolen computer,y,131000,20,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
University of California Berkeley,"details on students, alumni and others",,2009,"160,000",academic,hacked,,160000,300,,,,,http://www.msnbc.msn.com/id/30645920/ns/technology_and_science-security/t/hackers-breach-uc-berkeley-computers/#.UFjFaKRYtmg,,,ITRC,,,,,,,,,,,,,,,,,
"Affinity Health Plan, Inc.",,A rented photocopier used to copy health records did not have its hard-drive wiped before its return. ,2009,"344,579",healthcare,lost / stolen media ,y,344579,4000,,,,,http://security-hack1.blogspot.com/2010/04/affinity-health-plan-alerts-public.html,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,
Virginia Prescription Monitoring Program,,"A hacker, who was never arrested, demanded a $10 million ransom for a breach effecting 530,000 Virginians. Social security numbers may have been taken. The data was found in a database containing 35 million prescription records.",2009,"531,400",healthcare,hacked,y,531400,20,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
Network Solutions,Domain name registration business,"A large-scale infection of WordPress-driven blogs with malicious code led to the compromise of 573,000 debit and credit cards.",2009,"573,000",tech,hacked,,573000,300,,,,,http://www.computerworld.com/s/article/9175783/Network_Solutions_sites_hacked_again,http://voices.washingtonpost.com/securityfix/2009/07/network_solutions_hack_comprom.html,,ITRC,,,,,,,,,,,,,,,,,
Blue Cross Blue Shield of Tennessee,US health insurance organization,"A thief stole 57 hard drives from the closet of a BlueCross call center in Chattanooga, Tenn. Data on the stolen hard drives was encoded but not encrypted. Bluecross stated there was no evidence the information was accessed due to the specialized nature of the hardware stolen. ",2009,"1,023,209",healthcare,lost / stolen media ,y,1023209,20,,,,,http://www.scmagazine.com/thief-steals-57-hard-drives-from-bluecross-blueshield-of-tennessee/article/162178/,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,ITRC,,,,,,,,,,,,,,,,,
"AvMed, Inc.",,"Two company laptops containing names, addresses, dates of birth, Social Security numbers and health-related information. ",2009,"1,220,000",healthcare,lost / stolen computer,,1220000,20,,,,,http://www.governmentsecurity.org/latest-security-news/laptop-theft-exposes-private-info-of-avmed-health-plansaapos-customers.html,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,
Health Net ,Largest US publicly traded managed health care company,A portable hard drive with seven years of personal and medical information on about 1.5 million Health Net customers was lost for six months before being reported. ,2009,"1,500,000",healthcare,lost / stolen media ,y,1500000,4000,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
CheckFree Corporation,"Provider of online banking, online bill payment and electronic bill payment services for the financial services industry",Customers who went to CheckFree's Web sites between 12:35 a.m. and 10:10 a.m. on the day of the attack were redirected to a Ukrainian Web server that used malicious software to try and install a password-stealing program on the victim's computer.,2009,"5,000,000",financial,hacked,y,5000000,1,,,,,http://www.computerworld.com/s/article/9125078/CheckFree_warns_5_million_customers_after_hack,,,Computer World,,,,,,,,,,,,,,,,,
Virginia Dept. Of Health,,An extortion demand posted on WikiLeaks sought $10 million to return over 8 million patient records and 35 million prescriptions allegedly stolen from Virginia Department of Health Professions.  All 36 servers were shut down  to protect records.,2009,"8,257,378","government, healthcare",hacked,y,8257378,4000,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
RockYou!,Developer of online games (Zoo World/Zoo World 2) and advertising products,"The site did not allow users to use special characters or punctuation in their passwords and e-mailed user passwords in plain text. Hackers took advantage of these security lapses, using simple techniques to gain access to 32 million user accounts.",2009,"32,000,000","web, gaming",hacked,y,32000000,4000,,,,,http://techcrunch.com/2009/12/14/rockyou-hack-security-myspace-facebook-passwords/,,,Tech Crunch,,,,,,,,,,,,,,,,,
US Military,,"Without first destroying the data the agency sent back a defective unencrypted hard drive for repair and recycling which held detailed records on 76 million veterans, including millions of Social Security numbers dating to 1972.",2009,"76,000,000",military,lost / stolen media ,y,76000000,20,,,,,http://www.wired.com/threatlevel/2009/10/probe-targets-archives-handling-of-data-on-70-million-vets/,,,ITRC,,,,,,,,,,,,,,,,,
Heartland,Independent payment processor,"The biggest credit card scam in history, Heartland eventually paid more than $110 million to Visa, MasterCard, American Express and other card associations to settle claims related to the breach.",2009,"130,000,000",financial,hacked,y,130000000,300,,,,,http://www.guardian.co.uk/technology/blog/2009/aug/24/hacking-law?INTCMP=SRCH,http://money.cnn.com/2012/03/30/technology/credit-card-data-breach/index.htm,,Guardian,,,,,,,,,,,,,,,,,
Service Personnel and Veterans Agency (UK),,Stolen USBs containing personal information about private lives of staff. ,2008,"50,500",government,lost / stolen media,,50000,20,,,,,http://news.bbc.co.uk/1/hi/england/gloucestershire/7639006.stm,,,,,,,,,,,,,,,,,,,,
Stanford University,,"Tens of thousands of past and current Stanford University employees had personal information - including their dates of birth, Social Security numbers and home addresses - stored on the hard drive of a stolen university laptop.",2008,"72,000",academic,lost / stolen computer,,72000,20,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,http://www.sfgate.com/bayarea/article/Stanford-employees-data-on-stolen-laptop-3281185.php,,ITRC,,,,,,,,,,,,,,,,,
UK Home Office,,"PA Consulting lost an unencrypted memory stick containing details of high risk, prolific and other offenders.",2008,"84,000",government,lost / stolen media,,84000,20,,,,,http://en.wikipedia.org/wiki/List_of_UK_government_data_losses,,,,,,,,,,,,,,,,,,,,
Starbucks,,"A laptop was stolen that contained private information on 97,000 employees, including names, addresses and Social Security numbers. Employees tried to sue Starbucks in California winning their case in the appeals court before losing in the higher federal court as they were unable to prove any cognizable harm or injury.",2008,"97,000",retail,lost / stolen computer,y,97000,20,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,http://privacyblog.littler.com/2011/01/articles/identity-theft/after-starbucks-laptop-is-stolen-alleged-victims-of-identity-theft-win-pyrrhic-victory/,,ITRC,,,,,,,,,,,,,,,,,
AT&T,,"A laptop was stolen from a car containing unencrypted Social
Security numbers and bonus/salary info of AT&T employees.",2008,"113,000",telecoms,lost / stolen computer,y,113000,1,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
RBS Worldpay,the U.S. payment processing arm of The Royal Bank of Scotland Group,"The hack primarily effected U.S. prepaid and the gift card issuing business of RBS Worldpay. Actual fraud has been committed on approximately 100 cards.  Certain personal information of approximately 1.5 million cardholders and other individuals may have been affected and, of this group, Social Security numbers of 1.1 million people may have been accessed.",2008,"1,500,000",financial,hacked,,1500000,20,,,,,http://www.theregister.co.uk/2008/12/29/rbs_worldpay_breach/,,,The Register,,,,,,,,,,,,,,,,,
Jefferson County,"West Virginia, US","""Jefferson County Clerk Jennifer Maghan said she unveiled a new online search tool that enabled residents and business professionals to access nearly 1.6 million documents that are stored in her office via their home computers""",2008,"1,600,000",government,accidentally published,y,1600000,20,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,http://www.journal-news.net/page/content.detail/id/511806.html?nav=5006,,ITRC,,,,,,,,,,,,,,,,,
UK Ministry of Defence,,"Hard drive containing very sensitive details of Armed Forces personnel - passport & national insurance numbers, bank details etc - went missing. Loss was revealed during National Identity Fraud Prevention Week. ",2008,"1,700,000",government,lost / stolen media,y,1700000,50000,,,,,http://news.bbc.co.uk/1/hi/uk_politics/7667507.stm,,,,,,,,,,,,,,,,,,,,
University of Miami,,"Thieves stole a briefcase containing data tapes out of a vehicle used by a private off-site storage company. Anyone who had been a patient of a University of Miami physician or visited a UM facility since 1999 is likely included on the tapes. The data included names, addresses, Social Security numbers and health information. 47,000 of these records may have included credit card or other financial information regarding bill payment.",2008,"2,100,000",academic,lost / stolen computer,,2100000,300,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
University of Utah Hospitals & Clinics,stolen data tapes,The data tapes were stolen by petty thieves from an employee's car. According to police reports the thieves tried - and failed - to view the tapes using a VHS player.,2008,"2,200,000",academic,lost / stolen media,y,2200000,4000,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
Norwegian Tax Authorities,,"""Tax authorities said they had accidentally sent CD-ROMs filled with the 2006 tax returns of nearly four million people living in Norway, a country of 
just 4.6 million inhabitants, to the editorial staff at national 
newspapers, radios and television stations.""",2008,"3,950,000",government,accidentally published,y,3950000,20,,,,,http://infowatch.com/node/1289,,,Info Watch,,,,,,,,,,,,,,,,,
Data Processors International,Provides merchant account establishment and Internet based credit card payment processing services,,2008,"5,000,000",financial,hacked,,5000000,1,,,,,http://money.cnn.com/2003/02/18/technology/creditcards/,,,CNN,,,,,,,,,,,,,,,,,
Chile Ministry Of Education,,A computer hacker in Chile published confidential records belonging to six million people to illustrate the weakness of their security. ,2008,"6,000,000",government,accidentally published,,6000000,1,,,,,http://news.bbc.co.uk/2/hi/americas/7395295.stm,http://www.geek.com/articles/news/government-servers-in-chile-hacked-6-million-personal-records-made-public-20080514/,,BBC News,,,,,,,,,,,,,,,,,
GS Caltex,Private oil company,"Two multimedia discs containing the names, social security numbers, addresses, cell phone numbers, email addresses and workplaces of Korean customers sorted by age were stolen. They were found by an office worker in a backstreet’s trash pile in Seoul. Experts say a GS Caltex employee likely stole the information for personal purposes given there were no signs of hacking.",2008,"11,100,000",energy,inside job,,11100000,20,,,,,http://www.datalossdb.org,http://english.donga.com/srv/service.php3?biid=2008090631088,,Data Loss Database,,,,,,,,,,,,,,,,,
BNY Mellon Shareowner Services,Wealth management,"A back-up tape, containing over 12 million customers records were lost.",2008,"12,500,000",financial,lost / stolen media ,,12500000,1,,,,,http://www.wctv.tv/news/headlines/28132494.html?storySection=comments,,,ITRC,,,,,,,,,,,,,,,,,
Auction.co.kr,South Korea's largest online shopping site,,2008,"18,000,000",web,hacked,,18000000,300,,,,,http://www.darkreading.com/security/perimeter-security/211201111/hacker-steals-data-on-18m-auction-customers-in-south-korea.html,,,,,,,,,,,,,,,,,,,,
Texas Lottery,,"Data on more than 89,000 lottery winners (including names, Social Security numbers, addresses and prize amounts )were taken from the agency without permission by a former computer analyst who copied the password-free data. The employee added he wanted the information ""for possible future reference as a programmer at other state agencies.""",2007,"89,000",government,inside job,,89000,20,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
City and Hackney Teaching Primary Care Trust,,Heavily encrypted disks containing details of children are lost by couriers.,2007,"160,000",government,lost / stolen media,,"160,000",20,,,,,http://www.computerweekly.com/news/2240104003/Hackney-NHS-trust-encrypts-IT-equipment-following-loss-of-child-data,,,,,,,,,,,,,,,,,,,,
Gap Inc,,"Stolen laptop which contained social security numbers, data on people who applied for positions at Gap stores, including Banana Republic and Old Navy, between July 2006 and June 2007.",2007,"800,000",retail,lost / stolen computer,,800000,20,,,,,http://www.pcworld.com/article/137865/article.html,,,PC World,,,,,,,,,,,,,,,,,
Compass Bank,,"A former employee stole a hardrive containing 1m account details from the bank, then used it to defraud cutomers of nearly $32,000.",2007,"1,000,000",financial,inside job,y,1000000,300,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,http://www.computerworld.com/s/article/9072198/Programmer_who_stole_drive_containing_1_million_bank_records_gets_42_months,,ITRC,,,,,,,,,,,,,,,,,
